state,region,disease,year,cases,incidence_per_100k,population
Andhra Pradesh,South,Tuberculosis,2015,48926,42.16,116048524
Andhra Pradesh,South,Malaria,2015,69352,,116048524
Andhra Pradesh,South,Dengue,2015,65130,56.12,116048524
Andhra Pradesh,South,HIV/AIDS,2015,97021,83.6,116048524
Andhra Pradesh,South,Measles,2015,79569,68.57,116048524
Andhra Pradesh,South,Hepatitis B,2015,56306,48.52,116048524
Andhra Pradesh,South,Diarrhoeal Disease,2015,19610,16.9,116048524
Andhra Pradesh,South,Pneumonia,2015,40188,34.63,116048524
Andhra Pradesh,South,Tuberculosis,2016,12532,24.74,50664892
Andhra Pradesh,South,Malaria,2016,46764,92.3,50664892
Andhra Pradesh,South,Dengue,2016,2932,5.79,50664892
Andhra Pradesh,South,HIV/AIDS,2016,49868,98.43,50664892
Andhra Pradesh,South,Measles,2016,84399,166.58,50664892
Andhra Pradesh,South,Hepatitis B,2016,65936,130.14,50664892
Andhra Pradesh,South,Diarrhoeal Disease,2016,33524,66.17,50664892
Andhra Pradesh,South,Pneumonia,2016,76691,151.37,50664892
Andhra Pradesh,South,Tuberculosis,2017,47097,56.18,83827364
Andhra Pradesh,South,Malaria,2017,91403,109.04,83827364
Andhra Pradesh,South,Dengue,2017,9968,11.89,83827364
Andhra Pradesh,South,HIV/AIDS,2017,51778,61.77,83827364
Andhra Pradesh,South,Measles,2017,15007,17.9,83827364
Andhra Pradesh,South,Hepatitis B,2017,34695,41.39,83827364
Andhra Pradesh,South,Diarrhoeal Disease,2017,98956,118.05,83827364
Andhra Pradesh,South,Pneumonia,2017,34942,41.68,83827364
Andhra Pradesh,South,Tuberculosis,2018,84573,,119996719
Andhra Pradesh,South,Malaria,2018,30181,25.15,119996719
Andhra Pradesh,South,Dengue,2018,30667,25.56,119996719
Andhra Pradesh,South,HIV/AIDS,2018,59102,49.25,119996719
Andhra Pradesh,South,Measles,2018,92555,77.13,119996719
Andhra Pradesh,South,Hepatitis B,2018,56374,46.98,119996719
Andhra Pradesh,South,Diarrhoeal Disease,2018,67477,56.23,119996719
Andhra Pradesh,South,Pneumonia,2018,36369,30.31,119996719
Andhra Pradesh,South,Tuberculosis,2019,62579,56.43,110890241
Andhra Pradesh,South,Malaria,2019,97243,87.69,110890241
Andhra Pradesh,South,Dengue,2019,68796,62.04,110890241
Andhra Pradesh,South,HIV/AIDS,2019,35678,32.17,110890241
Andhra Pradesh,South,Measles,2019,73311,66.11,110890241
Andhra Pradesh,South,Hepatitis B,2019,49934,45.03,110890241
Andhra Pradesh,South,Diarrhoeal Disease,2019,94534,85.25,110890241
Andhra Pradesh,South,Pneumonia,2019,36960,33.33,110890241
Andhra Pradesh,South,Tuberculosis,2020,62697,59.3,105729462
Andhra Pradesh,South,Malaria,2020,53370,50.48,105729462
Andhra Pradesh,South,Dengue,2020,70886,67.04,105729462
Andhra Pradesh,South,HIV/AIDS,2020,21746,20.57,105729462
Andhra Pradesh,South,Measles,2020,75845,71.73,105729462
Andhra Pradesh,South,Hepatitis B,2020,30506,28.85,105729462
Andhra Pradesh,South,Diarrhoeal Disease,2020,89158,84.33,105729462
Andhra Pradesh,South,Pneumonia,2020,40029,37.86,105729462
Andhra Pradesh,South,Tuberculosis,2021,65078,309.45,21030500
Andhra Pradesh,South,Malaria,2021,90422,429.96,21030500
Andhra Pradesh,South,Dengue,2021,72626,345.34,21030500
Andhra Pradesh,South,HIV/AIDS,2021,10693,50.85,21030500
Andhra Pradesh,South,Measles,2021,59036,280.72,21030500
Andhra Pradesh,South,Hepatitis B,2021,36951,175.7,21030500
Andhra Pradesh,South,Diarrhoeal Disease,2021,64598,307.16,21030500
Andhra Pradesh,South,Pneumonia,2021,22293,106.0,21030500
Andhra Pradesh,South,Tuberculosis,2022,71790,60.38,118900684
Andhra Pradesh,South,Malaria,2022,13255,11.15,118900684
Andhra Pradesh,South,Dengue,2022,67506,56.78,118900684
Andhra Pradesh,South,HIV/AIDS,2022,81773,68.77,118900684
Andhra Pradesh,South,Measles,2022,58358,49.08,118900684
Andhra Pradesh,South,Hepatitis B,2022,89609,,118900684
Andhra Pradesh,South,Diarrhoeal Disease,2022,99359,83.56,118900684
Andhra Pradesh,South,Pneumonia,2022,29887,25.14,118900684
Andhra Pradesh,South,Tuberculosis,2023,23910,59.56,40141661
Andhra Pradesh,South,Malaria,2023,94801,236.17,40141661
Andhra Pradesh,South,Dengue,2023,82746,206.13,40141661
Andhra Pradesh,South,HIV/AIDS,2023,42830,106.7,40141661
Andhra Pradesh,South,Measles,2023,34196,85.19,40141661
Andhra Pradesh,South,Hepatitis B,2023,22362,55.71,40141661
Andhra Pradesh,South,Diarrhoeal Disease,2023,36509,90.95,40141661
Andhra Pradesh,South,Pneumonia,2023,98961,246.53,40141661
Andhra Pradesh,South,Tuberculosis,2024,52236,45.78,114114501
Andhra Pradesh,South,Malaria,2024,43118,37.78,114114501
Andhra Pradesh,South,Dengue,2024,17654,15.47,114114501
Andhra Pradesh,South,HIV/AIDS,2024,36732,32.19,114114501
Andhra Pradesh,South,Measles,2024,41779,36.61,114114501
Andhra Pradesh,South,Hepatitis B,2024,53228,46.64,114114501
Andhra Pradesh,South,Diarrhoeal Disease,2024,10882,9.54,114114501
Andhra Pradesh,South,Pneumonia,2024,26828,23.51,114114501
Arunachal Pradesh,Northeast,Tuberculosis,2015,17913,27.91,64174537
Arunachal Pradesh,Northeast,Malaria,2015,54926,85.59,64174537
Arunachal Pradesh,Northeast,Dengue,2015,52217,81.37,64174537
Arunachal Pradesh,Northeast,HIV/AIDS,2015,7675,11.96,64174537
Arunachal Pradesh,Northeast,Measles,2015,20065,31.27,64174537
Arunachal Pradesh,Northeast,Hepatitis B,2015,95045,148.1,64174537
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2015,25158,39.2,64174537
Arunachal Pradesh,Northeast,Pneumonia,2015,68201,106.27,64174537
Arunachal Pradesh,Northeast,Tuberculosis,2016,23220,71.33,32552928
Arunachal Pradesh,Northeast,Malaria,2016,6607,20.3,32552928
Arunachal Pradesh,Northeast,Dengue,2016,3223,9.9,32552928
Arunachal Pradesh,Northeast,HIV/AIDS,2016,65087,,32552928
Arunachal Pradesh,Northeast,Measles,2016,53724,165.04,32552928
Arunachal Pradesh,Northeast,Hepatitis B,2016,32034,98.41,32552928
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2016,37305,114.6,32552928
Arunachal Pradesh,Northeast,Pneumonia,2016,98312,302.01,32552928
Arunachal Pradesh,Northeast,Tuberculosis,2017,52881,106.01,49885254
Arunachal Pradesh,Northeast,Malaria,2017,50060,100.35,49885254
Arunachal Pradesh,Northeast,Dengue,2017,41780,83.75,49885254
Arunachal Pradesh,Northeast,HIV/AIDS,2017,80599,161.57,49885254
Arunachal Pradesh,Northeast,Measles,2017,80776,161.92,49885254
Arunachal Pradesh,Northeast,Hepatitis B,2017,47855,95.93,49885254
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2017,4833,9.69,49885254
Arunachal Pradesh,Northeast,Pneumonia,2017,19281,,49885254
Arunachal Pradesh,Northeast,Tuberculosis,2018,75136,214.33,35055841
Arunachal Pradesh,Northeast,Malaria,2018,69177,197.33,35055841
Arunachal Pradesh,Northeast,Dengue,2018,91297,260.43,35055841
Arunachal Pradesh,Northeast,HIV/AIDS,2018,64288,183.39,35055841
Arunachal Pradesh,Northeast,Measles,2018,81367,232.11,35055841
Arunachal Pradesh,Northeast,Hepatitis B,2018,10305,29.4,35055841
Arunachal Pradesh,Northeast,Diarrhoeal Disease,2018,42403,120.96,35055841
Arunachal Pradesh,Northeast,Pneumonia,2018,28722,81.93,35055841
Arunachal Pradesh,Northeast,Tuberculosis,2019,97884,115.45,84787789
Arunachal Pradesh,Northeast,Malaria,2019,65466,77.21,84787789
Arunachal Pradesh,Northeast,Dengue,2019,17872,21.08,84787789
Arunachal Pradesh,Northeast,HIV/AIDS,2019,50116,59.11,84787789
Arunachal Pradesh,Northeast,Measles,2019,35888,42.33,84787789
